taxonKey,scientificName,rank,taxonomicStatus,kingdom,includes
7777960,Vaccinium macrocarpum Aiton,SPECIES,ACCEPTED,Plantae,7777960: Vaccinium macrocarpum Aiton | 8373490: Oxycoccus macrocarpus (Aiton) Pers. | 4936636: Oxycoccus macrocarpos (Aiton) Pursh | 2882842: Oxycoccus macrocarpus (Aiton) Pursh
7787813,Spiraea alba DuRoi,SPECIES,DOUBTFUL,Plantae,7787813: Spiraea alba DuRoi
7820753,"Magallana gigas (Thunberg, 1793)",SPECIES,ACCEPTED,Animalia,"7820753: Magallana gigas (Thunberg, 1793) | 2286069: Crassostrea gigas (Thunberg, 1793) | 9948260: BOLD:AAB2297"
8190231,"Corbicula fluminea (O.F.Müller, 1774)",SPECIES,ACCEPTED,Animalia,"8190231: Corbicula fluminea (O.F.Müller, 1774) | 6126843: Corbicula insularis Prime, 1867 | 8104327: Corbicula producta E.von Martens, 1905"
8745918,"Deroceras invadens Reise, Hutchinson, Schunack & Schlitt, 2011",SPECIES,ACCEPTED,Animalia,"8745918: Deroceras invadens Reise, Hutchinson, Schunack & Schlitt, 2011 | 10683203: BOLD:AED5282 | 10791775: BOLD:AED4021 | 10739537: BOLD:AED4849 | 10724595: BOLD:AED4421 | 10889531: BOLD:AED7355 | 10672634: BOLD:AED4026 | 10723752: BOLD:AED4420 | 10790914: BOLD:AED8618 | 10848061: BOLD:AED4025 | 10858711: BOLD:AED5281 | 10806735: BOLD:AED5278 | 10713939: BOLD:AED7356 | 10750216: BOLD:AED5283 | 10765236: BOLD:AED7353 | 10899345: BOLD:AED4847 | 10832292: BOLD:AED4022 | 10873743: BOLD:AED4851 | 10842925: BOLD:AED4024 | 10734424: BOLD:AED7354 | 10708655: BOLD:AED4848 | 10698202: BOLD:AED5280 | 10884311: BOLD:AED4850 | 10817195: BOLD:AED5279 | 10781045: BOLD:AED8619 | 10833138: BOLD:AED8239 | 10775865: BOLD:AED4023"
8848208,Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal,SPECIES,ACCEPTED,Plantae,6391908: Persicaria wallichii Greuter & Burdet | 4037343: Rubrivena polystachya (Wall.) M.Král | 4033547: Persicaria polystachya (Meisn.) H.Gross | 5334448: Polygonum polystachyum Meisn. | 8848208: Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal | 8343116: Aconogonon polystachyum (Wall. ex Meisn.) Kral
9185677,"Podarcis siculus (Rafinesque-Schmaltz, 1810)",SPECIES,ACCEPTED,Animalia,"2469244: Lacerta sicula Brelih, 1961 | 9185677: Podarcis siculus (Rafinesque-Schmaltz, 1810) | 7190769: Podarcis siculus siculus | 6159401: Podarcis siculus campestris (De Betta, 1857) | 6159392: Podarcis siculus caporiaccoi (Taddei, 1949) | 6159410: Podarcis siculus calabresiae (Taddei, 1949) | 6159412: Podarcis siculus tyrrhenicus (Mertens, 1932) | 6159430: Podarcis siculus cettii (Cara, 1872) | 11334535: Lacerta serpa Schreiber | 9244840: Lacerta sicula cettii Taddei, 1949 | 10665900: Lacerta sicula mertensi Wettstein, 1931 | 9597819: Lacerta sicula ragusae Wettstein, 1931 | 6159409: Podarcis siculus ragusae (Wettstein, 1931) | 6159436: Podarcis siculus sanctinicolai (Taddei, 1949)"
9202318,Symphyotrichum lanceolatum (Willd.) G.L.Nesom,SPECIES,ACCEPTED,Plantae,"5406285: Aster ×lanceolatus Willd. | 9202318: Symphyotrichum lanceolatum (Willd.) G.L.Nesom | 6293570: Symphyotrichum lanceolatum var. lanceolatum | 7066048: Symphyotrichum lanceolatum subsp. lanceolatum | 8273907: Aster simplex Willd. | 4237140: Symphyotrichum lanceolatum var. hesperium (A.Gray) G.L.Nesom | 8066155: Aster paniculatus Lam., 1783"
3663237,Cornus sanguinea subsp. australis (C.A.Mey.) Jáv.,SUBSPECIES,ACCEPTED,Plantae,"8207659: Cornus sanguinea subsp. australis (C.A.Mey.) Soó, 1978 | 3663678: Swida australis (C.A.Mey.) Pojark. ex Grossh. | 3663237: Cornus sanguinea subsp. australis (C.A.Mey.) Jáv. | 3663151: Cornus australis C.A.Mey."
8421432,Cornus sanguinea subsp. hungarica (Kárpáti) Soó,SUBSPECIES,ACCEPTED,Plantae,8421432: Cornus sanguinea subsp. hungarica (Kárpáti) Soó | 3663378: Cornus hungarica Kárpáti | 3663277: Swida hungarica (Kárpáti) Soják
4417551,"Astacus leptodactylus Eschscholtz, 1823",SPECIES,HOMOTYPIC_SYNONYM,Animalia,"4417551: Astacus leptodactylus Eschscholtz, 1823"
6070603,Mimulus guttatus Fisch. ex DC.,SPECIES,HETEROTYPIC_SYNONYM,Plantae,6070603: Mimulus guttatus Fisch. ex DC.
